Categoría,ACC,STD,Número de Pares
Car,0.7223076923076923,0.32131908845802337,780
Face,0.8684548080190283,0.18410537168407448,5886
Duck,0.7726530612244898,0.30438144376251886,1225
Motorbike,0.8837179487179486,0.19109407653849433,780
Winebottle,0.9231235431235431,0.16743376697123616,2145
